Word,Meaning,Synonyms,Sentences
Abhor,"Meaning
Strong dislike or hate for something or someone.",,
Aberrant,"Meaning
Straying from the right or normal way.","Atypical
Abnormal","Sentences
I don’t intend to suggest that his psychology was in some way aberrant or neurotic."
Abnegate,"Meaning
Deny, renounce
Surrender, relinquish",,"Sentences
It would be abnegating the nation’s fundamental commitment to individual rights.
Her powers were abnegated."
Accrued,"Meaning
Accumulated over a period of time.",,"Sentences
Three weeks of accrued vacation time.
The loan increases by the amount of unpaid, accrued interest."
Acrophobia,"Meaning
A fear of heights.",,
Acrimony,"Meaning
Anger and bitterness.
Harsh or biting sharpness especially of words, manner or feelings.","Mordancy
Acidity","Sentences
She responded with such acrimony that he never brought the subject up again."
Acuity,"Meaning
Keenness of perception.",,"Sentences
Others worry that their mental and hearing acuity might not ever return."
Ad hoc,"Meaning
Doing something for the case or task at hand without thinking about wider application or consequences.
Something formed or used for specific immediate needs or problems.","Extempore
Impromptu
Unpremeditated","Sentences
She was astute enough to quickly conjure up an ad hoc solution to the problem.
The ad hoc set pieces looked almost the same as the original ones that got destroyed in the fire."
Admonition,"Meaning
A counsel or warning against fault or oversight.
A gentle or friendly rebuke.","Admonishment","Sentences
Asciidoctor, a Static Site Generator, has great admonition icons for warnings, tips, general notes, cautionary notes and important notes!"
Adonis,"Meaning
A good looking man who makes others attracted to him.",,
Adultery,"Meaning
Voluntary sexual intercourse between a married person and someone other than that person’s current spouse or partner.","Infidelity
Unfaithfulness","Sentences
Ron found out that his wife Lauren had committed adultery."
Affable,"Meaning
Being pleasant and at ease in talking to others.
Characterized by ease and friendliness.","Felicitous
Congenial
Easygoing
Laid-back
Cordial","Sentences
She is a bright and affable person, but every little success she has feels cheapened in comparison with her mother’s overpowering accomplishments."
Agnostic,"Meaning
Someone who does not know or believes that it is impossible to know if God exists.
Something that is not designed for or preferring a particular device or system.",,
Agoraphobia,"Meaning
Fear of open spaces or lonely places.
This is the opposite/antonym of Claustrophobia.",,
Alacrity,"Meaning
Promptness in response.
Cheerful readiness.",,"Sentences
The alacrity with which the mentors agreed to mentor the participants at the hackathon surprised me!"
Almanac,"Meaning
A book published every year that contains facts and information about a particular subject or activity.",,"Sentences
An almanac of town news."
Altruist,"Meaning
An unselfish person who thinks of the need of others.","Benevolent",
Ambivalent,"Meaning
Simultaneous and contradictory attitudes or feelings (such as attraction and repulsion) toward an object, person or action.
Uncertainty as to which approach to follow.
Continual fluctuation (as between one thing and its opposite).",,"Sentences
He felt ambivalence toward his powerful father.
They had ambivalence about their goals."
Amorous,"Meaning
Strongly moved by love and especially sexual love.
Being in love.","Erogenous
Erotic
Sexy","Sentences
She was amorous of the girl.
She received amorous glances from him.
According to Martin & Miller, the data included amorous communications with numerous women, and more than 200 photographs of women."
Anechoic,"Meaning
Something which is free from echoes and reverberations.",,"Sentences
A cent percent anechoic chamber is impossible to build."
Anthropology,"Meaning
The study of man.
The science of human development and history.",,
Apathy,"Meaning
Lack of feeling or emotion.
Lack of interest or concern.","Insensibility
Indifference","Sentences
Drug abuse leads to apathy and depression."
Aplomb,"Meaning
Complete and confident composure or self-assurance.","Poise
Composure
Placidity
Tranquility","Sentences
She played several roles with equal aplomb.
Stefan Soltesz conducts the excellent chorus and orchestra with aplomb, and television director Brian Large does his usual exemplary job."
Apocryphal,"Meaning
Of doubtful authenticity.",,"Sentences
True or apocryphal, the story of the invention of the fried Ipswich clam is unabashed gospel for lovers of this regional specialty."
Appraisal,"Meaning
To set a value on.
To evaluate the worth, significance or status of something or someone.",,"Sentences
The ring must be appraised by a jeweler before it can be insured.
The results would allow investors to appraise the value of Coinbase shares."
Approbation,"Meaning
Praise
An act of approving formally or officially.","Commendation","Sentences
The company has even received the approbation of its former critics.
That plan has the approbation of the school board."
Ascetic,"Meaning
Living a life of forced hardship and abstinence.","Austere
Puritanical",
Assiduous,"Meaning
Showing great care, attention and effort.","Sedulous","Sentences
Harsh pays assiduous attention to his GitHub repositories."
Astigmatic,"Meaning
A defect in vision.
Incapacity for differentiation and observation.",,"Sentences
Astigmatic fanaticism, a disregard for the facts because one strongly believes in something, is deadly."
Astringent,"Meaning
Causing a tightening of soft organic tissues.",,"Sentences
The medicine checked the discharge of mucus by causing shrinkage of tissue, thus acting as an astringent agent.
(Tongue puckering with sour candy.)"
Astute,"Meaning
Able to understand a situation quickly and see how to take advantage of it.",,"Sentences
Arun Jaitley was a very knowledgeable and astute politician."
Augury,"Meaning
Omen
Foretell","Portent
Presage","Sentences
Ancient augury involved the interpretation of the flight patterns of birds.
Some people believe that a broken mirror is an augury of seven years of bad luck."
Barroom,"Meaning
An establishment whose main business is a bar for the sale of liquor.",,
Bastille,"Meaning
Jail
Prison","Penitentiary","Sentences
The queen ordered for Jason to be marched off to the bastille."
